id;global_score;agregate_count;tourist-atraction;opinion;sentiment
622;4;515;Sagrada Familia;I hate it;-0.8
623;6;674;Sagrada Familia;I love it;0.5
624;8;110;Sagrada Familia;I love it;0.5
625;5;73;Park Güell;I like it;0.0
626;8;846;Sagrada Familia;I like it;0.0
627;4;285;Park Güell;I hate it;-0.8
628;4;946;Sagrada Familia;I don't like it;0.0
629;7;585;Park Güell;I like it;0.0
630;9;839;Sagrada Familia;I love it;0.5
631;10;795;Park Güell;I love it;0.5
632;5;428;Hotel Wella;I like it;0.0
633;3;480;Sagrada Familia;I hate it;-0.8
634;7;449;Park Güell;I love it;0.5
635;10;373;Hotel Wella;I love it;0.5
636;10;732;Sagrada Familia;I like it;0.0
637;5;278;Sagrada Familia;I love it;0.5
638;9;345;Park Güell;I love it;0.5
639;1;615;Park Güell;I hate it;-0.8
640;2;552;Sagrada Familia;I don't like it;0.0
641;2;857;Hotel Wella;I don't like it;0.0
642;3;665;Sagrada Familia;I hate it;-0.8
643;7;909;Park Güell;I love it;0.5
644;4;392;Park Güell;I hate it;-0.8
645;4;10;Park Güell;I hate it;-0.8
646;6;406;Hotel Wella;I love it;0.5
647;5;794;Park Güell;I like it;0.0
648;2;63;Sagrada Familia;I don't like it;0.0
649;7;440;Park Güell;I love it;0.5
650;7;298;Sagrada Familia;I love it;0.5
651;5;144;Hotel Wella;I love it;0.5
652;10;846;Sagrada Familia;I like it;0.0
653;10;348;Park Güell;I love it;0.5
654;5;603;Park Güell;I like it;0.0
655;2;167;Hotel Wella;I don't like it;0.0
656;10;247;Sagrada Familia;I love it;0.5
657;1;453;Park Güell;I don't like it;0.0
658;1;773;Hotel Wella;I don't like it;0.0
659;8;383;Park Güell;I like it;0.0
660;2;504;Hotel Wella;I don't like it;0.0
661;7;811;Park Güell;I like it;0.0
662;6;256;Hotel Wella;I love it;0.5
663;10;938;Park Güell;I like it;0.0
664;7;805;Hotel Wella;I love it;0.5
665;8;154;Hotel Wella;I love it;0.5
666;9;986;Hotel Wella;I like it;0.0
667;9;352;Sagrada Familia;I love it;0.5
668;4;473;Sagrada Familia;I don't like it;0.0
669;4;3;Sagrada Familia;I hate it;-0.8
670;3;157;Hotel Wella;I don't like it;0.0
671;1;118;Park Güell;I hate it;-0.8
672;4;918;Hotel Wella;I don't like it;0.0
673;9;293;Hotel Wella;I love it;0.5
674;1;532;Sagrada Familia;I don't like it;0.0
675;4;611;Sagrada Familia;I don't like it;0.0
676;2;831;Park Güell;I don't like it;0.0
677;1;94;Hotel Wella;I hate it;-0.8
678;2;244;Hotel Wella;I don't like it;0.0
679;7;715;Park Güell;I love it;0.5
680;3;659;Sagrada Familia;I don't like it;0.0
681;10;858;Park Güell;I love it;0.5
682;8;925;Park Güell;I like it;0.0
683;8;566;Sagrada Familia;I love it;0.5
684;3;859;Park Güell;I don't like it;0.0
685;2;495;Hotel Wella;I hate it;-0.8
686;8;602;Hotel Wella;I like it;0.0
687;10;839;Park Güell;I like it;0.0
688;5;730;Hotel Wella;I like it;0.0
689;1;561;Hotel Wella;I don't like it;0.0
690;1;192;Park Güell;I don't like it;0.0
691;9;191;Sagrada Familia;I love it;0.5
692;5;207;Sagrada Familia;I like it;0.0
693;3;72;Hotel Wella;I don't like it;0.0
694;1;20;Sagrada Familia;I hate it;-0.8
695;9;525;Sagrada Familia;I love it;0.5
696;10;594;Park Güell;I love it;0.5
697;8;172;Sagrada Familia;I like it;0.0
698;7;871;Park Güell;I love it;0.5
699;6;481;Sagrada Familia;I love it;0.5
700;9;385;Sagrada Familia;I love it;0.5
701;10;724;Sagrada Familia;I love it;0.5
702;6;927;Park Güell;I like it;0.0
703;6;226;Hotel Wella;I love it;0.5
704;3;528;Sagrada Familia;I hate it;-0.8
705;10;418;Sagrada Familia;I like it;0.0
706;7;883;Sagrada Familia;I like it;0.0
707;3;433;Hotel Wella;I hate it;-0.8
708;2;721;Hotel Wella;I hate it;-0.8
709;4;405;Park Güell;I don't like it;0.0
710;5;538;Hotel Wella;I like it;0.0
711;10;698;Park Güell;I like it;0.0
712;10;22;Sagrada Familia;I love it;0.5
713;1;180;Park Güell;I hate it;-0.8
714;2;692;Hotel Wella;I hate it;-0.8
715;3;112;Hotel Wella;I don't like it;0.0
716;10;430;Park Güell;I like it;0.0
717;4;943;Park Güell;I hate it;-0.8
718;8;407;Sagrada Familia;I love it;0.5
719;4;464;Park Güell;I don't like it;0.0
720;2;752;Hotel Wella;I hate it;-0.8
721;3;70;Park Güell;I hate it;-0.8
722;10;690;Park Güell;I like it;0.0
723;1;85;Sagrada Familia;I don't like it;0.0
724;7;114;Hotel Wella;I love it;0.5
725;1;586;Park Güell;I hate it;-0.8
726;3;549;Sagrada Familia;I don't like it;0.0
727;2;329;Hotel Wella;I don't like it;0.0
728;5;691;Sagrada Familia;I like it;0.0
729;1;575;Sagrada Familia;I hate it;-0.8
730;1;638;Sagrada Familia;I hate it;-0.8
731;10;866;Park Güell;I like it;0.0
732;8;817;Sagrada Familia;I love it;0.5
733;8;837;Sagrada Familia;I love it;0.5
734;6;690;Park Güell;I love it;0.5
735;3;825;Sagrada Familia;I hate it;-0.8
736;6;260;Park Güell;I like it;0.0
737;5;327;Park Güell;I like it;0.0
